ID,Information_centrality,Degree_centrality,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,clustering_coefficient,Load_centrality,Page_rank
AT5G63890,0.00018421525747158216,0.0027644673792849243,0.007548590258327441,4.459399087406457e-08,0.04858319465530564,0.0380952380952381,0.007594434187083202,0.0007234526354896846
AT3G45930,0.00024225438926096918,0.006266126059712496,5.5353352118368876e-05,0.15709411486779754,0.050981225076426995,0.5686274509803921,5.5252954911695045e-05,0.0002728519624381199
AT1G07890,0.00022016082954278077,0.0011057869517139699,1.1057883294664852e-05,1.549479046755368e-08,0.05083521143333522,0.0,1.1858907126359904e-05,0.00014992458509034562
AT5G40280,0.00015965841352388153,0.00036859565057132326,5.029880338417829e-06,1.875421461322895e-11,0.04209066484784906,0.0,5.646075895456853e-06,8.938321126364306e-05
AT4G29010,0.00022506493493382692,0.0011057869517139699,0.00543578904642882,1.1344529192052306e-05,0.062000490298771645,0.0,0.005447267039656828,0.00018184725183550678
AT2G19800,9.749408140607856e-05,0.00018429782528566163,0.0,2.3586449336834784e-11,0.03981863475804317,0.0,0.0,9.114461606718566e-05
AT5G06460,0.00020661942769827606,0.0009214891264283081,0.004652469663230708,2.6435178845526905e-06,0.054935723226491255,0.0,0.004689869620209553,0.00022590247068286106
AT5G28540,0.0002515247611935141,0.005897530409141172,0.0019264541410700018,0.00019945426581976253,0.060984518631966536,0.0,0.0017724708720941956,0.00045380806277617395
AT3G42170,8.577457068296423e-05,0.00018429782528566163,0.0,7.411437650596509e-11,0.04147780418765209,0.0,0.0,9.842787980232946e-05
AT5G62230,0.0001100442626984398,0.00018429782528566163,0.0,2.384673842283942e-12,0.03732344872309349,0.0,0.0,8.327887201929949e-05
AT5G17750,0.0001281515453318907,0.00018429782528566163,0.0,1.745008762512997e-08,0.04421342544184651,0.0,0.0,7.608553258856094e-05
AT2G26980,0.00023280544768850673,0.002027276078142278,0.00807422258920579,0.002613960854632413,0.056454547048323686,0.0,0.007975600884057587,0.0002859742624768257
AT5G38450,0.00014835082732294572,0.0005528934758569849,0.0001224023747833809,2.3308194020607945e-07,0.042774177794733165,0.0,0.0001224023747833809,0.00013043504120669814
AT4G38740,0.00024857049651303857,0.003870254330998894,0.0007628101842624365,0.00015470125183610702,0.058542909802585016,0.004761904761904762,0.0006424375604681815,0.0002910015386679116
AT2G32415,0.00012963837489581554,0.0005528934758569849,0.00033978743751284565,1.3220091009025876e-09,0.04694438165199963,0.0,0.00033978743751284565,0.0002225538898073593
AT3G54440,8.830859957913918e-05,0.00018429782528566163,0.0,2.0692318432123225e-11,0.03937291391302788,0.0,0.0,9.60273068050535e-05
AT4G36250,0.0002457617498142255,0.0075562108367121265,0.00470054098103431,0.000349192466863336,0.05534685169007162,0.0,0.004152725480769901,0.0009991435635977389
AT5G47040,0.0001738198542500961,0.0016586804275709546,1.5214590881658449e-05,6.468108662271101e-06,0.0416831101770194,0.5,1.5027723964856551e-05,0.00020790257994276592
AT3G29230,9.7698105830019e-05,0.0007371913011426465,0.0006995141606115798,2.3361379580828924e-14,0.035085154136774106,0.0,0.0006884943410979837,0.00028875964920983507
AT1G78000,0.00010866341795435456,0.00018429782528566163,0.0,4.071813759191393e-13,0.0349205497753963,0.0,0.0,8.199393997230183e-05
AT4G09720,0.0001437145912583249,0.00018429782528566163,0.0,2.315347567644757e-09,0.049598259897663165,0.0,0.0,6.673371509650927e-05
AT5G17310,0.00023359820438746283,0.0022115739034279398,0.005397290330304229,0.00913116723249133,0.057252996053771175,0.015151515151515152,0.005418910340763508,0.00027960474792832157
AT3G07110,0.00014272004855429493,0.00018429782528566163,0.0,1.1095048466360476e-06,0.04772504026969235,0.0,0.0,6.056848138813945e-05
AT2G26800,0.00019699631683362434,0.001474382602285293,0.003462156465029307,1.2106006096129887e-06,0.05123479542941393,0.07142857142857142,0.0037358237241738104,0.00047979167287987034
AT1G50920,0.00011376621750322129,0.00036859565057132326,0.00016979180290833858,3.552795972718825e-08,0.04387879372759072,0.0,0.00016979180290833858,0.000149592064355944
AT5G53120,5.166738362536676e-05,0.00036859565057132326,0.00016992769070578424,1.8424861716901148e-16,0.029785333905084494,0.0,0.00016992769070578424,0.00020149867290825466
AT5G10700,9.88148884446703e-05,0.00018429782528566163,0.0,1.039375748747704e-09,0.04460487622190384,0.0,0.0,9.560804820194439e-05
